PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1630169,1,Tyrese Haliburton,1610612754,IND,40,33.4,7.3,15.1,0.48,3.0,7.4,0.399,2.8,3.1,0.88,0.7,3.3,4.0,10.2,1.8,0.4,2.6,20.2,25.7
1629027,2,Trae Young,1610612737,ATL,44,35.7,8.5,20.1,0.426,2.2,6.8,0.318,7.8,8.8,0.889,0.6,2.2,2.9,9.9,0.9,0.1,4.1,27.1,24.3
203999,3,Nikola Jokic,1610612743,DEN,42,33.4,9.5,15.2,0.629,0.9,2.3,0.378,5.1,6.3,0.818,2.1,8.9,11.0,9.9,1.4,0.6,3.4,25.1,37.7
1629029,4,Luka Doncic,1610612742,DAL,45,36.8,11.1,22.4,0.497,2.7,7.8,0.351,8.0,11.0,0.728,0.9,8.0,8.9,8.4,1.5,0.5,3.6,33.0,34.4
1629636,5,Darius Garland,1610612739,CLE,42,36.0,7.5,16.8,0.448,2.5,6.3,0.399,4.5,5.2,0.866,0.5,2.4,2.9,8.1,1.4,0.1,3.0,22.0,21.6
1629630,6,Ja Morant,1610612763,MEM,41,32.4,9.7,20.9,0.465,1.7,5.2,0.322,6.2,8.3,0.746,1.1,4.5,5.6,8.1,1.0,0.3,3.6,27.3,25.4
201144,7,Mike Conley,1610612762,UTA,39,29.5,3.5,8.8,0.395,1.9,5.1,0.374,1.6,2.1,0.8,0.4,2.1,2.5,7.5,1.0,0.2,1.6,10.5,14.3
201566,8,Russell Westbrook,1610612747,LAL,46,28.6,5.9,13.9,0.421,1.2,4.0,0.286,3.0,4.5,0.663,1.1,5.3,6.3,7.5,1.0,0.5,3.5,15.8,18.1
203081,9,Damian Lillard,1610612757,POR,36,35.8,9.2,19.9,0.462,4.1,11.1,0.373,7.6,8.4,0.901,0.6,3.4,4.0,7.4,0.9,0.3,3.2,30.1,28.1
201950,10,Jrue Holiday,1610612749,MIL,38,32.8,7.4,15.8,0.467,2.3,6.1,0.378,2.5,2.9,0.872,1.2,3.8,5.0,7.4,1.4,0.4,3.3,19.6,21.7
1627734,11,Domantas Sabonis,1610612758,SAC,45,34.4,6.9,11.3,0.606,0.4,1.2,0.37,4.3,5.7,0.753,3.0,9.4,12.4,7.3,0.8,0.4,3.0,18.4,30.5
203935,12,Marcus Smart,1610612738,BOS,41,32.5,4.0,9.5,0.422,1.8,5.3,0.333,1.4,1.8,0.767,0.7,2.7,3.4,7.2,1.3,0.4,2.4,11.1,15.2
2544,13,LeBron James,1610612747,LAL,39,36.1,11.5,22.8,0.507,2.1,6.9,0.304,4.8,6.2,0.769,1.2,7.3,8.5,7.0,1.0,0.6,3.1,29.9,31.3
203110,14,Draymond Green,1610612744,GSW,44,31.6,3.1,6.0,0.511,0.6,1.9,0.329,1.1,1.5,0.721,0.8,6.5,7.3,6.8,0.9,0.8,2.5,7.9,17.8
1627783,15,Pascal Siakam,1610612761,TOR,40,37.6,8.9,18.8,0.471,1.3,4.2,0.314,6.1,7.9,0.766,2.0,6.3,8.2,6.5,0.8,0.6,2.6,25.1,26.8
1627732,16,Ben Simmons,1610612751,BKN,37,27.3,3.4,5.9,0.566,0.0,0.0,0.0,0.7,1.5,0.446,1.0,5.5,6.5,6.4,1.4,0.6,2.4,7.4,16.5
1627832,17,Fred VanVleet,1610612761,TOR,41,36.8,6.3,15.9,0.394,3.0,8.6,0.346,3.8,4.2,0.901,0.4,3.8,4.3,6.4,1.6,0.6,1.8,19.3,20.3
1630200,18,Tre Jones,1610612759,SAS,48,29.8,5.1,11.7,0.44,0.7,2.7,0.271,2.3,2.6,0.894,0.8,2.8,3.6,6.4,1.3,0.2,1.8,13.3,16.1
1628973,19,Jalen Brunson,1610612752,NYK,47,34.4,8.1,17.3,0.468,1.8,4.4,0.402,4.5,5.3,0.844,0.6,2.9,3.5,6.3,1.0,0.3,2.1,22.4,21.3
