PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
203954,1,Joel Embiid,1610612755,PHI,35,34.8,11.1,20.9,0.532,1.1,3.2,0.345,10.1,11.7,0.861,1.7,8.0,9.8,4.1,1.1,1.7,3.6,33.4,35.0
1629029,2,Luka Doncic,1610612742,DAL,45,36.8,11.1,22.4,0.497,2.7,7.8,0.351,8.0,11.0,0.728,0.9,8.0,8.9,8.4,1.5,0.5,3.6,33.0,34.4
203507,3,Giannis Antetokounmpo,1610612749,MIL,38,33.5,10.9,20.7,0.527,0.8,3.0,0.257,8.7,13.4,0.645,2.3,9.7,12.0,5.3,0.8,0.9,4.1,31.3,31.6
1628369,4,Jayson Tatum,1610612738,BOS,47,37.3,10.1,21.7,0.468,3.3,9.3,0.352,7.6,8.7,0.868,1.1,7.6,8.7,4.4,1.0,0.7,2.8,31.1,30.5
1628983,5,Shai Gilgeous-Alexander,1610612760,OKC,45,35.6,10.4,20.2,0.513,1.0,2.7,0.366,9.2,10.2,0.906,0.8,3.9,4.8,5.6,1.7,1.1,2.9,30.9,30.4
203081,6,Damian Lillard,1610612757,POR,36,35.8,9.2,19.9,0.462,4.1,11.1,0.373,7.6,8.4,0.901,0.6,3.4,4.0,7.4,0.9,0.3,3.2,30.1,28.1
2544,7,LeBron James,1610612747,LAL,39,36.1,11.5,22.8,0.507,2.1,6.9,0.304,4.8,6.2,0.769,1.2,7.3,8.5,7.0,1.0,0.6,3.1,29.9,31.3
201142,8,Kevin Durant,1610612751,BKN,39,36.0,10.5,18.8,0.559,1.8,4.8,0.376,6.8,7.3,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,29.7,31.7
1628378,9,Donovan Mitchell,1610612739,CLE,41,36.2,9.7,20.2,0.481,3.8,9.5,0.396,5.0,5.8,0.869,1.0,3.0,4.0,4.8,1.5,0.4,2.9,28.3,24.8
1629630,10,Ja Morant,1610612763,MEM,41,32.4,9.7,20.9,0.465,1.7,5.2,0.322,6.2,8.3,0.746,1.1,4.5,5.6,8.1,1.0,0.3,3.6,27.3,25.4
202681,11,Kyrie Irving,1610612751,BKN,37,36.9,10.0,20.5,0.488,3.3,8.7,0.376,3.9,4.4,0.901,0.9,4.1,5.1,5.2,1.0,0.8,2.2,27.2,26.1
1629027,12,Trae Young,1610612737,ATL,44,35.7,8.5,20.1,0.426,2.2,6.8,0.318,7.8,8.8,0.889,0.6,2.2,2.9,9.9,0.9,0.1,4.1,27.1,24.3
1627759,13,Jaylen Brown,1610612738,BOS,44,35.9,10.0,20.5,0.489,2.5,7.5,0.331,4.2,5.4,0.785,1.3,5.9,7.1,3.2,1.1,0.5,3.1,26.8,24.0
201942,14,DeMar DeRozan,1610612741,CHI,45,36.2,9.4,18.5,0.508,0.4,1.4,0.27,7.0,7.9,0.89,0.5,4.5,5.0,4.9,1.0,0.5,2.0,26.3,25.7
1627783,15,Pascal Siakam,1610612761,TOR,40,37.6,8.9,18.8,0.471,1.3,4.2,0.314,6.1,7.9,0.766,2.0,6.3,8.2,6.5,0.8,0.6,2.6,25.1,26.8
203999,16,Nikola Jokic,1610612743,DEN,42,33.4,9.5,15.2,0.629,0.9,2.3,0.378,5.1,6.3,0.818,2.1,8.9,11.0,9.9,1.4,0.6,3.4,25.1,37.7
203944,17,Julius Randle,1610612752,NYK,50,35.7,8.4,18.1,0.461,2.7,7.9,0.346,5.4,7.2,0.748,2.3,8.5,10.9,4.0,0.7,0.3,2.7,24.8,26.4
1628374,18,Lauri Markkanen,1610612762,UTA,46,34.2,8.3,16.0,0.519,3.1,7.2,0.43,5.0,5.8,0.872,1.8,6.9,8.7,1.8,0.6,0.6,1.8,24.8,26.2
1630162,19,Anthony Edwards,1610612750,MIN,51,36.5,8.7,19.0,0.459,2.7,7.4,0.371,4.3,5.6,0.775,0.6,5.4,6.0,4.5,1.7,0.6,3.3,24.5,22.5
1628368,20,De'Aaron Fox,1610612758,SAC,44,33.4,9.0,17.6,0.508,1.6,4.8,0.332,4.3,5.5,0.785,0.4,3.9,4.3,6.1,0.9,0.3,2.6,23.8,23.0
203897,21,Zach LaVine,1610612741,CHI,44,35.7,8.3,18.1,0.458,2.9,7.7,0.373,4.2,5.0,0.836,0.6,4.1,4.7,4.2,1.0,0.2,2.5,23.6,20.5
1628973,22,Jalen Brunson,1610612752,NYK,47,34.4,8.1,17.3,0.468,1.8,4.4,0.402,4.5,5.3,0.844,0.6,2.9,3.5,6.3,1.0,0.3,2.1,22.4,21.3
1628398,23,Kyle Kuzma,1610612764,WAS,47,35.4,8.5,18.4,0.46,2.6,7.7,0.34,2.7,3.8,0.702,1.0,6.6,7.6,3.9,0.5,0.5,3.0,22.2,20.7
204001,24,Kristaps Porzingis,1610612764,WAS,41,32.6,7.2,15.4,0.468,1.9,5.5,0.348,5.8,7.0,0.826,2.0,6.8,8.8,2.4,0.9,1.5,2.2,22.1,24.0
1629636,25,Darius Garland,1610612739,CLE,42,36.0,7.5,16.8,0.448,2.5,6.3,0.399,4.5,5.2,0.866,0.5,2.4,2.9,8.1,1.4,0.1,3.0,22.0,21.6
202710,26,Jimmy Butler,1610612748,MIA,35,33.9,7.2,13.9,0.519,0.6,1.9,0.303,6.8,8.0,0.847,2.1,4.1,6.1,5.0,2.1,0.3,1.7,21.8,25.7
1629014,27,Anfernee Simons,1610612757,POR,46,35.8,7.7,17.3,0.444,3.6,9.7,0.374,2.7,3.0,0.9,0.3,2.5,2.8,4.0,0.7,0.2,2.2,21.8,17.3
1630224,28,Jalen Green,1610612745,HOU,48,34.6,7.3,17.8,0.411,2.5,7.6,0.331,4.6,5.9,0.78,0.6,3.6,4.1,3.7,0.7,0.2,2.9,21.7,15.8
1629640,29,Keldon Johnson,1610612759,SAS,43,32.3,7.5,17.6,0.429,2.4,7.0,0.341,4.1,5.2,0.781,0.8,4.0,4.8,2.5,0.7,0.2,2.1,21.5,16.5
1628389,30,Bam Adebayo,1610612748,MIA,45,35.0,8.6,16.0,0.54,0.0,0.2,0.1,4.3,5.3,0.8,2.8,7.3,10.1,3.1,1.1,0.8,2.7,21.5,25.6
