,PLAYER_ID,ALL_FGA,ALL_ALL_AVG_DISTANCE,ALL_3PT_AVG_DISTANCE,ALL_2PT_AVG_DISTANCE,MADE_FGA,MADE_ALL_AVG_DISTANCE,MADE_3PT_AVG_DISTANCE,MADE_2PT_AVG_DISTANCE,MISS_FGA,MISS_ALL_AVG_DISTANCE,MISS_3PT_AVG_DISTANCE,MISS_2PT_AVG_DISTANCE,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION
249,1630573,292,23.924657534246574,25.772200772200772,9.424242424242424,116.0,22.948275862068964,25.485148514851485,5.866666666666666,176.0,24.568181818181817,25.955696202531644,12.38888888888889,Sam Hauser,1610612738,BOS
11,201587,154,23.506493506493506,24.143835616438356,11.875,63.0,23.50793650793651,24.05,12.666666666666666,91.0,23.505494505494507,24.209302325581394,11.4,Nicolas Batum,1610612746,LAC
336,1631260,286,23.426573426573427,24.94573643410853,9.428571428571429,126.0,22.817460317460316,24.642857142857142,8.214285714285714,160.0,23.90625,25.17808219178082,10.642857142857142,AJ Green,1610612749,MIL
183,1629726,52,22.76923076923077,25.08695652173913,5.0,21.0,21.095238095238095,24.470588235294116,6.75,31.0,23.903225806451612,25.448275862068964,1.5,Garrison Mathews,1610612754,IND
223,1630322,51,22.235294117647058,24.59090909090909,7.428571428571429,19.0,21.736842105263158,24.6,11.0,32.0,22.53125,24.586206896551722,2.6666666666666665,Lindy Waters III,1610612759,SAS
74,1626220,356,22.23314606741573,26.023972602739725,4.9375,153.0,21.241830065359476,25.60655737704918,4.064516129032258,203.0,22.980295566502463,26.323529411764707,5.757575757575758,Royce O'Neale,1610612756,PHX
153,1629216,103,22.233009708737864,25.37037037037037,10.681818181818182,34.0,22.352941176470587,24.862068965517242,7.8,69.0,22.17391304347826,25.653846153846153,11.529411764705882,Gabe Vincent,1610612747,LAL
216,1630241,230,21.769565217391303,25.0,7.72093023255814,108.0,20.583333333333332,25.058823529411764,4.043478260869565,122.0,22.81967213114754,24.95098039215686,11.95,Sam Merrill,1610612739,CLE
91,1628366,157,21.611464968152866,25.232558139534884,4.928571428571429,48.0,19.020833333333332,25.085714285714285,2.6923076923076925,109.0,22.75229357798165,25.28723404255319,6.866666666666666,Lonzo Ball,1610612739,CLE
207,1630198,223,21.569506726457398,24.807692307692307,7.195121951219512,98.0,20.132653061224488,24.573333333333334,5.6521739130434785,125.0,22.696,24.97196261682243,9.166666666666666,Isaiah Joe,1610612760,OKC
10,201572,205,21.224390243902437,26.172185430463575,7.388888888888889,74.0,20.256756756756758,26.431372549019606,6.565217391304348,131.0,21.770992366412212,26.04,8.0,Brook Lopez,1610612746,LAC
333,1631248,76,21.05263157894737,24.901639344262296,5.4,37.0,18.64864864864865,24.153846153846153,5.636363636363637,39.0,23.333333333333332,25.457142857142856,4.75,Baylor Scheierman,1610612738,BOS
21,202691,434,20.99078341013825,24.71656050955414,11.241666666666667,169.0,20.14792899408284,24.584745762711865,9.882352941176471,265.0,21.528301886792452,24.79591836734694,12.246376811594203,Klay Thompson,1610612742,DAL
218,1630249,288,20.822916666666668,25.0,5.596774193548387,135.0,19.555555555555557,25.142857142857142,4.756756756756757,153.0,21.941176470588236,24.890625,6.84,Vít Krejčí,1610612737,ATL
298,1631119,143,20.804195804195803,24.75221238938053,5.933333333333334,52.0,17.75,25.03030303030303,5.105263157894737,91.0,22.54945054945055,24.6375,7.363636363636363,Jaylin Williams,1610612760,OKC
139,1629018,298,20.607382550335572,24.795348837209303,9.759036144578314,113.0,19.79646017699115,24.532467532467532,9.666666666666666,185.0,21.102702702702704,24.942028985507246,9.829787234042554,Gary Trent Jr.,1610612749,MIL
151,1629130,345,20.51304347826087,24.91111111111111,4.68,153.0,18.84313725490196,24.89908256880734,3.840909090909091,192.0,21.84375,24.919254658385093,5.870967741935484,Duncan Robinson,1610612765,DET
39,203501,422,20.213270142180093,25.193877551020407,8.7734375,194.0,19.04639175257732,25.173553719008265,8.89041095890411,228.0,21.20614035087719,25.208092485549134,8.618181818181819,Tim Hardaway Jr.,1610612743,DEN
124,1628978,461,20.197396963123644,25.129310344827587,5.008849557522124,191.0,18.539267015706805,25.022900763358777,4.383333333333334,270.0,21.37037037037037,25.193548387096776,5.716981132075472,Donte DiVincenzo,1610612750,MIN
122,1628975,91,20.12087912087912,24.470588235294116,7.260869565217392,36.0,20.416666666666668,24.464285714285715,6.25,55.0,19.927272727272726,24.475,7.8,Jevon Carter,1610612741,CHI
173,1629652,245,20.02857142857143,24.927777777777777,6.461538461538462,95.0,17.705263157894738,24.915254237288135,5.888888888888889,150.0,21.5,24.93388429752066,7.172413793103448,Luguentz Dort,1610612760,OKC
