JERSEY_NUMBER,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,COUNT,MPG,PPG,APG,RPG
,7,39,2,9,1,5,4,4,2,5,7,4,3,0,0,6,9,16,0.0,0.0,1,5.571428571428571,1.2857142857142858,0.5714285714285714,1.0
0,1072,26025,4891,10550,1582,4466,2131,2703,1067,3354,4421,2843,998,440,1466,2046,13495,14500,35.85,14.78,19,24.27705223880597,12.588619402985074,2.65205223880597,4.124067164179104
00,439,9514,1412,3055,647,1684,501,623,389,1140,1529,805,278,155,532,805,3972,4442,11.93,4.04,8,21.671981776765374,9.047835990888382,1.8337129840546698,3.4829157175398633
1,894,22019,4663,9804,1169,3385,2852,3521,1128,3504,4632,3291,817,502,1683,1699,13347,15096,33.09,12.82,18,24.629753914988815,14.929530201342281,3.6812080536912752,5.181208053691275
10,828,19444,3212,6858,1171,3060,1635,1978,619,1978,2597,2071,612,272,901,1336,9230,9892,33.56,11.06,15,23.483091787439612,11.147342995169081,2.501207729468599,3.1364734299516908
11,1141,25022,4355,8768,1303,3492,1585,2064,1144,3219,4363,2581,756,532,1217,2134,11598,13721,36.87,13.81,18,21.92988606485539,10.164767747589833,2.26205083260298,3.8238387379491674
12,720,15412,2262,4958,731,2051,907,1161,807,1920,2727,1711,624,275,801,1307,6162,7748,34.480000000000004,13.38,17,21.405555555555555,8.558333333333334,2.376388888888889,3.7875
13,590,13202,2480,5226,691,1900,1050,1344,559,1909,2468,1573,435,208,779,992,6701,7566,22.38,6.53,12,22.37627118644068,11.357627118644068,2.666101694915254,4.183050847457627
14,710,13354,1943,4034,649,1785,746,995,775,1684,2459,1039,463,387,603,1286,5281,6686,35.1,17.4,19,18.80845070422535,7.438028169014085,1.463380281690141,3.463380281690141
15,465,11122,2313,4570,669,1821,1177,1435,616,1881,2497,1644,447,245,795,960,6472,7995,18.02,5.6,10,23.918279569892473,13.918279569892473,3.535483870967742,5.36989247311828
16,249,3386,425,915,96,336,208,286,184,411,595,286,134,75,179,336,1154,1497,11.93,5.84,8,13.598393574297189,4.634538152610442,1.1485943775100402,2.389558232931727
17,472,9799,2019,4233,602,1674,727,925,592,1616,2208,862,358,235,637,904,5367,5981,16.46,5.7299999999999995,10,20.760593220338983,11.370762711864407,1.826271186440678,4.677966101694915
18,418,8663,1433,3117,494,1376,544,739,375,1216,1591,1073,330,163,598,783,3904,4584,17.77,7.7,10,20.72488038277512,9.339712918660288,2.5669856459330145,3.8062200956937797
19,214,4242,813,1544,151,435,196,295,322,552,874,269,127,133,220,468,1973,2326,5.5,2.73,5,19.822429906542055,9.219626168224298,1.2570093457943925,4.08411214953271
2,1054,24303,4780,10241,1551,4268,2340,2817,771,2916,3687,3604,958,350,1516,1871,13451,14596,52.09,15.530000000000001,22,23.05787476280835,12.761859582542694,3.4193548387096775,3.498102466793169
20,725,15388,2567,5431,909,2375,853,1136,857,2030,2887,1203,501,383,829,1430,6896,7894,23.78,10.27,14,21.224827586206896,9.511724137931035,1.659310344827586,3.982068965517241
21,656,13102,2011,4344,597,1762,923,1218,788,1866,2654,977,422,387,687,1221,5542,6667,21.689999999999998,11.94,14,19.972560975609756,8.448170731707316,1.4893292682926829,4.045731707317073
22,773,16384,2686,5827,783,2241,1197,1557,825,2190,3015,1579,682,322,895,1441,7352,8554,24.0,12.41,15,21.195342820181114,9.510996119016818,2.0426908150064684,3.9003880983182406
23,929,22013,3600,7705,1133,3226,1436,1893,1438,3363,4801,2527,759,528,1234,1797,9769,12588,34.68,14.06,18,23.695371367061355,10.515608180839612,2.720129171151776,5.167922497308934
24,673,14533,2454,5526,1066,2802,1087,1294,481,1506,1987,1716,458,176,814,1002,7061,7305,31.799999999999997,10.27,15,21.59435364041605,10.49182763744428,2.549777117384844,2.9524517087667164
25,511,12791,2180,4611,737,2008,818,1024,562,1643,2205,1285,496,274,600,966,5915,6938,23.580000000000002,9.32,11,25.031311154598825,11.575342465753424,2.5146771037181996,4.315068493150685
26,95,1574,188,433,87,250,40,55,62,176,238,127,48,11,49,129,503,618,4.41,2.08,2,16.568421052631578,5.294736842105263,1.3368421052631578,2.5052631578947366
27,441,10910,1870,3785,602,1606,791,1057,540,1550,2090,1146,339,247,523,815,5133,6251,13.59,5.4399999999999995,7,24.73922902494331,11.639455782312925,2.598639455782313,4.73922902494331
28,427,9648,1778,3584,469,1267,656,898,549,1375,1924,821,266,251,545,881,4681,5350,9.22,4.390000000000001,7,22.594847775175644,10.962529274004684,1.9227166276346603,4.505854800936768
29,87,1762,277,615,106,311,151,183,63,154,217,182,54,14,89,161,811,819,4.84,1.3900000000000001,3,20.25287356321839,9.32183908045977,2.0919540229885056,2.4942528735632186
3,1148,28996,5630,12152,1894,5127,2659,3214,957,3592,4549,3438,896,473,1831,2369,15813,16261,40.0,12.01,21,25.257839721254356,13.774390243902438,2.994773519163763,3.9625435540069684
30,654,14954,2520,5221,822,2245,1212,1557,856,2279,3135,1548,488,341,811,1196,7074,8729,22.08,12.620000000000001,12,22.865443425076453,10.81651376146789,2.36697247706422,4.793577981651376
31,339,7024,1245,2520,428,1115,471,646,470,1006,1476,440,259,146,291,534,3389,3969,13.85,6.970000000000001,7,20.71976401179941,9.997050147492626,1.2979351032448379,4.353982300884955
32,449,10286,1888,3884,451,1326,943,1188,716,1921,2637,956,304,383,543,963,5170,6666,18.15,6.75,8,22.9086859688196,11.514476614699332,2.129175946547884,5.87305122494432
33,349,7391,993,2099,376,1013,346,508,437,975,1412,604,230,163,332,674,2708,3517,13.15,5.71,7,21.177650429799428,7.759312320916905,1.7306590257879657,4.045845272206304
34,197,4630,931,1676,137,400,490,708,396,899,1295,461,141,83,279,451,2489,3227,6.6,2.38,4,23.502538071065988,12.634517766497462,2.3401015228426396,6.573604060913706
35,372,6754,1062,1889,185,541,358,512,632,1002,1634,443,203,274,261,705,2667,3979,12.27,5.27,7,18.155913978494624,7.169354838709677,1.1908602150537635,4.39247311827957
36,62,1769,188,476,97,293,106,129,36,136,172,185,87,23,92,162,579,643,2.01,0.95,1,28.532258064516128,9.338709677419354,2.9838709677419355,2.774193548387097
4,997,21898,3699,8067,1204,3556,1364,1756,789,2792,3581,2732,824,484,1313,1749,9966,11514,38.97,15.27,19,21.963891675025074,9.995987963891675,2.740220661985958,3.5917753259779337
40,125,3433,550,1057,139,358,203,265,224,498,722,253,68,52,147,197,1442,1821,3.6500000000000004,1.03,2,27.464,11.536,2.024,5.776
41,72,2246,436,967,151,412,248,295,121,279,400,182,68,7,68,95,1271,1282,2.68,1.0,1,31.194444444444443,17.65277777777778,2.5277777777777777,5.555555555555555
42,111,2577,462,870,77,216,169,212,197,574,771,167,52,48,124,224,1170,1633,3.29,0.87,2,23.216216216216218,10.54054054054054,1.5045045045045045,6.945945945945946
43,136,2490,607,1275,132,376,281,411,104,366,470,270,88,32,155,189,1627,1534,5.92,2.66,3,18.308823529411764,11.963235294117647,1.9852941176470589,3.4558823529411766
44,197,3285,405,1028,220,616,136,194,109,309,418,268,105,44,165,239,1166,1155,9.62,2.82,6,16.6751269035533,5.918781725888325,1.3604060913705585,2.1218274111675126
45,226,5826,1224,2506,381,1049,546,671,158,657,815,967,219,81,413,446,3375,3637,12.2,4.61,6,25.778761061946902,14.93362831858407,4.278761061946903,3.606194690265487
47,37,344,36,77,2,19,15,40,45,67,112,42,12,8,16,49,89,181,2.63,0.75,1,9.297297297297296,2.4054054054054053,1.135135135135135,3.027027027027027
5,1363,35330,5923,12939,1878,5479,2599,3404,1280,4427,5707,4316,1289,499,2125,2697,16323,18188,49.22,17.06,23,25.920763022743948,11.975788701393984,3.1665443873807777,4.187087307410125
50,22,106,9,14,0,0,2,2,11,16,27,8,1,5,13,16,20,43,1.5,0.1,2,4.818181818181818,0.9090909090909091,0.36363636363636365,1.2272727272727273
51,69,634,90,213,48,130,18,24,15,79,94,53,17,6,30,50,246,257,1.77,0.57,1,9.18840579710145,3.5652173913043477,0.7681159420289855,1.3623188405797102
52,69,1118,206,357,55,127,90,117,156,125,281,66,27,28,46,161,557,735,1.44,0.59,1,16.202898550724637,8.072463768115941,0.9565217391304348,4.072463768115942
54,80,1751,330,631,115,296,118,158,108,287,395,151,64,41,67,147,893,1136,2.25,0.96,1,21.8875,11.1625,1.8875,4.9375
55,394,7425,912,1918,391,1040,292,399,442,1085,1527,692,263,151,292,657,2507,3735,20.32,7.77,9,18.84517766497462,6.362944162436548,1.7563451776649746,3.8756345177664975
6,65,1277,149,352,98,256,73,92,32,326,358,158,31,42,67,127,469,769,2.36,0.46,1,19.646153846153847,7.2153846153846155,2.4307692307692306,5.507692307692308
61,66,1229,186,436,60,168,44,57,51,107,158,232,48,5,85,75,476,571,2.73,0.57,1,18.62121212121212,7.212121212121212,3.515151515151515,2.393939393939394
67,10,97,12,26,3,6,7,8,11,16,27,6,2,1,1,14,34,54,6.0,2.0,1,9.7,3.4,0.6,2.7
7,1070,26117,5114,10542,1565,4109,2386,2931,1256,3946,5202,3077,825,646,1743,2047,14179,16213,41.12,11.64,21,24.408411214953272,13.251401869158878,2.8757009345794393,4.861682242990654
77,266,6491,1348,2955,457,1290,743,942,212,927,1139,1024,260,94,521,509,3896,4086,8.02,2.21,5,24.402255639097746,14.646616541353383,3.8496240601503757,4.2819548872180455
8,1098,24662,4224,9434,1552,4356,2150,2687,666,2715,3381,3328,982,366,1678,1982,12150,12782,41.38,12.97,22,22.460837887067395,11.065573770491802,3.0309653916211294,3.079234972677596
88,132,3169,508,978,62,200,197,269,244,491,735,339,105,123,204,335,1275,1831,3.33,1.15,2,24.007575757575758,9.659090909090908,2.5681818181818183,5.568181818181818
9,984,23106,3997,8524,1083,3117,1702,2223,1135,3041,4176,2712,891,471,1243,1762,10779,12738,38.2,13.52,18,23.48170731707317,10.954268292682928,2.7560975609756095,4.2439024390243905
91,75,1435,133,334,59,198,58,88,62,104,166,110,52,25,70,183,383,435,1.57,0.74,1,19.133333333333333,5.1066666666666665,1.4666666666666666,2.2133333333333334
93,59,757,82,203,30,93,33,48,67,120,187,70,30,18,42,70,227,354,1.67,0.71,1,12.830508474576272,3.847457627118644,1.1864406779661016,3.169491525423729
