PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner 3_FGM,Corner 3_FGA,Corner 3_FG_PCT,Total Shots_FGM,Total from 3_FGM,Pct RA_FGM,Pct 3_FGM,Pct Moreyball_FGM,Total Shots_FGA,Total from 3_FGA,Pct RA_FGA,Pct 3_FGA,Pct Moreyball_FGA
1629731,Dean Wade,1610612739,CLE,27.0,Dean,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.222,1.0,5.0,0.2,5.0,10.0,0.5,0.0,0.0,0.0,3.0,14.0,0.214,13.0,8.0,0.385,0.615,1.0,30.0,24.0,0.2,0.8,1.0
1630202,Payton Pritchard,1610612738,BOS,26.0,Payton,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,5.0,8.0,0.625,15.0,37.0,0.405,0.0,0.0,0.0,8.0,12.0,0.667,26.0,23.0,0.115,0.885,1.0,57.0,49.0,0.123,0.86,0.983
1629021,Moritz Wagner,1610612753,ORL,27.0,Moritz,13.0,21.0,0.619,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,2.0,5.0,0.4,19.0,5.0,0.684,0.263,0.947,34.0,12.0,0.618,0.353,0.971
1630241,Sam Merrill,1610612739,CLE,28.0,Sam,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,6.0,16.0,0.375,0.0,0.0,0.0,1.0,7.0,0.143,8.0,7.0,0.125,0.875,1.0,25.0,23.0,0.04,0.92,0.96
1627777,Georges Niang,1610612739,CLE,31.0,Georges,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,0.222,3.0,4.0,0.75,2.0,6.0,0.333,0.0,0.0,0.0,5.0,13.0,0.385,10.0,7.0,0.3,0.7,1.0,25.0,19.0,0.2,0.76,0.96
201569,Eric Gordon,1610612755,PHI,35.0,Eric,4.0,9.0,0.444,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.5,0.375,0.875,23.0,13.0,0.391,0.565,0.956
1631105,Jalen Duren,1610612765,DET,20.0,Jalen,18.0,20.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,1.0,21.0,0.0,0.952,0.0,0.952
1630245,Ayo Dosunmu,1610612741,CHI,24.0,Ayo,13.0,18.0,0.722,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,1.0,15.0,0.067,0.0,0.0,0.0,2.0,6.0,0.333,16.0,3.0,0.812,0.188,1.0,41.0,21.0,0.439,0.512,0.951
203484,Kentavious Caldwell-Pope,1610612753,ORL,31.0,Kentavious,4.0,6.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,0.0,5.0,0.0,2.0,7.0,0.286,2.0,12.0,0.167,0.0,0.0,0.0,2.0,12.0,0.167,9.0,4.0,0.444,0.444,0.888,32.0,24.0,0.188,0.75,0.938
1626192,Pat Connaughton,1610612749,MIL,31.0,Pat,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,0.167,4.0,11.0,0.364,0.0,0.0,0.0,1.0,8.0,0.125,8.0,5.0,0.25,0.625,0.875,27.0,19.0,0.222,0.704,0.926
