PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1629027,1,Trae Young,1610612737,ATL,36,35.7,6.8,16.9,0.401,2.9,8.4,0.339,6.1,7.0,0.873,0.5,2.9,3.4,12.1,1.3,0.2,4.3,22.5,24.2
203999,2,Nikola Jokić,1610612743,DEN,32,37.1,12.1,21.7,0.556,2.3,4.7,0.477,5.3,6.5,0.804,3.5,9.5,13.0,9.9,1.8,0.6,3.2,31.6,42.8
1630595,3,Cade Cunningham,1610612765,DET,35,35.6,9.1,19.9,0.458,2.4,6.4,0.378,3.6,4.5,0.792,0.9,5.7,6.7,9.5,0.9,0.8,4.4,24.2,26.1
1630169,4,Tyrese Haliburton,1610612754,IND,39,35.0,6.3,14.1,0.447,3.0,8.2,0.363,2.9,3.4,0.858,0.7,3.0,3.6,8.9,1.3,0.6,1.8,18.5,22.8
2544,5,LeBron James,1610612747,LAL,33,34.9,9.2,18.1,0.507,2.2,5.7,0.386,3.3,4.3,0.769,0.9,6.8,7.7,8.8,0.8,0.5,3.7,23.8,28.1
101108,6,Chris Paul,1610612759,SAS,37,29.1,3.2,7.8,0.417,1.7,4.8,0.36,1.4,1.4,0.981,0.5,3.8,4.3,8.3,1.4,0.2,1.7,9.6,17.6
201935,7,James Harden,1610612746,LAC,35,33.7,6.2,15.9,0.389,2.8,8.2,0.339,6.3,7.1,0.88,0.6,5.4,6.0,7.9,1.5,0.7,4.7,21.4,22.1
1628973,8,Jalen Brunson,1610612752,NYK,38,35.0,8.5,17.8,0.476,2.3,5.8,0.387,5.8,7.0,0.827,0.4,2.5,2.9,7.5,0.8,0.1,2.4,25.1,23.4
203081,9,Damian Lillard,1610612749,MIL,29,36.2,7.6,17.3,0.439,3.4,9.1,0.377,6.3,6.9,0.915,0.6,3.8,4.4,7.4,1.2,0.1,2.9,24.9,24.9
1627732,10,Ben Simmons,1610612751,BKN,27,25.0,2.7,5.0,0.552,0.0,0.0,0.0,0.6,0.8,0.714,0.9,4.3,5.2,6.9,0.9,0.4,2.9,6.0,14.1
1626164,11,Devin Booker,1610612756,PHX,32,36.6,8.0,18.4,0.435,2.6,7.7,0.333,6.2,6.9,0.891,1.1,2.8,3.9,6.9,1.1,0.3,2.3,24.7,23.4
201566,12,Russell Westbrook,1610612743,DEN,37,27.3,4.8,10.4,0.459,1.2,3.7,0.324,2.2,3.4,0.638,1.3,3.7,5.0,6.8,1.6,0.5,2.8,12.9,17.2
1629636,13,Darius Garland,1610612739,CLE,36,30.2,7.5,15.1,0.5,2.9,6.8,0.433,3.0,3.3,0.915,0.4,2.1,2.6,6.7,1.1,0.2,2.3,21.0,21.5
