PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner 3_FGM,Corner 3_FGA,Corner 3_FG_PCT,Total Shots_FGM,Total from 3_FGM,Pct RA_FGM,Pct 3_FGM,Pct Moreyball_FGM,Total Shots_FGA,Total from 3_FGA,Pct RA_FGA,Pct 3_FGA,Pct Moreyball_FGA
1629011,Mitchell Robinson,1610612752,NYK,27.0,Mitchell,37.0,52.0,0.712,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.974,0.0,0.974,53.0,0.0,0.981,0.0,0.981
201587,Nicolas Batum,1610612746,LAC,37.0,Nicolas,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,0.333,11.0,22.0,0.5,9.0,23.0,0.391,17,53,0.321,0.0,0.0,0.0,20.0,45.0,0.444,39.0,37.0,0.026,0.949,0.975,103.0,98.0,0.019,0.951,0.97
1630171,Isaac Okoro,1610612741,CHI,24.0,Isaac,42.0,68.0,0.618,3.0,6.0,0.5,0.0,1.0,0.0,7.0,21.0,0.333,7.0,18.0,0.389,8,22,0.364,0.0,0.0,0.0,14.0,39.0,0.359,67.0,22.0,0.627,0.328,0.955,136.0,61.0,0.5,0.449,0.949
1642883,Sion James,1610612766,CHA,23.0,Sion,24.0,48.0,0.5,2.0,8.0,0.25,0.0,0.0,0.0,7.0,22.0,0.318,6.0,18.0,0.333,22,53,0.415,0.0,0.0,0.0,13.0,40.0,0.325,61.0,35.0,0.393,0.574,0.967,149.0,93.0,0.322,0.624,0.946
1641763,Julian Phillips,1610612741,CHI,22.0,Julian,15.0,22.0,0.682,0.0,3.0,0.0,0.0,0.0,0.0,4.0,15.0,0.267,4.0,10.0,0.4,1,5,0.2,0.0,0.0,0.0,8.0,25.0,0.32,24.0,9.0,0.625,0.375,1.0,55.0,30.0,0.4,0.545,0.945
1630643,Jay Huff,1610612754,IND,28.0,Jay,34.0,46.0,0.739,5.0,11.0,0.455,0.0,0.0,0.0,1.0,7.0,0.143,1.0,10.0,0.1,37,111,0.333,0.0,0.0,0.0,2.0,17.0,0.118,78.0,39.0,0.436,0.5,0.936,185.0,128.0,0.249,0.692,0.941
1629731,Dean Wade,1610612739,CLE,29.0,Dean,17.0,27.0,0.63,2.0,3.0,0.667,2.0,5.0,0.4,4.0,15.0,0.267,8.0,22.0,0.364,15,56,0.268,0.0,0.0,0.0,12.0,37.0,0.324,48.0,27.0,0.354,0.562,0.916,128.0,93.0,0.211,0.727,0.938
1631260,AJ Green,1610612749,MIL,26.0,AJ,3.0,4.0,0.75,5.0,10.0,0.5,0.0,2.0,0.0,18.0,30.0,0.6,12.0,16.0,0.75,51,127,0.402,0.0,0.0,0.0,30.0,46.0,0.652,89.0,81.0,0.034,0.91,0.944,189.0,173.0,0.021,0.915,0.936
1631133,Jabari Walker,1610612755,PHI,23.0,Jabari,26.0,47.0,0.553,0.0,4.0,0.0,1.0,2.0,0.5,3.0,9.0,0.333,2.0,10.0,0.2,7,20,0.35,0.0,0.0,0.0,5.0,19.0,0.263,39.0,12.0,0.667,0.308,0.975,92.0,39.0,0.511,0.424,0.935
1630611,Gui Santos,1610612744,GSW,23.0,Gui,12.0,19.0,0.632,2.0,2.0,1.0,0.0,2.0,0.0,2.0,5.0,0.4,3.0,5.0,0.6,7,27,0.259,0.0,0.0,0.0,5.0,10.0,0.5,26.0,12.0,0.462,0.462,0.924,60.0,37.0,0.317,0.617,0.934
1628366,Lonzo Ball,1610612739,CLE,28.0,Lonzo,10.0,17.0,0.588,2.0,5.0,0.4,1.0,4.0,0.25,2.0,15.0,0.133,2.0,5.0,0.4,24,90,0.267,0.0,0.0,0.0,4.0,20.0,0.2,41.0,28.0,0.244,0.683,0.927,136.0,110.0,0.125,0.809,0.934
