PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1628369,1,Jayson Tatum,1610612738,BOS,56,2093,556,1203,0.462,186,524,0.355,418,483,0.865,60,425,485,257,59,44,163,121,1716,1686,1.58,0.36
1629029,2,Luka Doncic,1610612742,DAL,51,1856,570,1128,0.505,138,398,0.347,416,567,0.734,45,403,448,417,78,26,184,134,1694,1770,2.27,0.42
1628983,3,Shai Gilgeous-Alexander,1610612760,OKC,54,1918,553,1091,0.507,47,139,0.338,521,574,0.908,48,208,256,307,89,58,155,145,1674,1638,1.98,0.57
1630162,4,Anthony Edwards,1610612750,MIN,62,2251,559,1208,0.463,165,452,0.365,264,339,0.779,37,331,368,279,102,40,209,155,1547,1403,1.33,0.49
203944,5,Julius Randle,1610612752,NYK,61,2188,519,1123,0.462,168,491,0.342,325,428,0.759,130,518,648,250,42,18,171,185,1531,1611,1.46,0.25
203954,6,Joel Embiid,1610612755,PHI,46,1609,503,949,0.53,50,146,0.342,460,538,0.855,82,394,476,189,53,74,161,148,1516,1623,1.17,0.33
203507,7,Giannis Antetokounmpo,1610612749,MIL,48,1561,534,992,0.538,38,141,0.27,394,610,0.646,109,467,576,258,36,37,187,159,1500,1546,1.38,0.19
203081,8,Damian Lillard,1610612757,POR,46,1665,435,931,0.467,191,513,0.372,384,419,0.916,29,169,198,334,38,14,147,89,1445,1351,2.27,0.26
1629027,9,Trae Young,1610612737,ATL,53,1874,446,1041,0.428,116,353,0.329,416,469,0.887,38,118,156,542,55,8,217,81,1424,1320,2.5,0.25
1628378,10,Donovan Mitchell,1610612739,CLE,52,1844,490,1029,0.476,186,487,0.382,240,274,0.876,48,159,207,249,79,20,140,123,1406,1248,1.78,0.56
1628374,11,Lauri Markkanen,1610612762,UTA,55,1892,469,914,0.513,167,410,0.407,280,318,0.881,102,372,474,100,34,34,102,115,1385,1442,0.98,0.33
2544,12,LeBron James,1610612747,LAL,46,1658,522,1038,0.503,99,319,0.31,219,288,0.76,54,334,388,323,43,25,144,75,1362,1412,2.24,0.3
201942,13,DeMar DeRozan,1610612741,CHI,54,1953,492,972,0.506,27,88,0.307,350,397,0.882,23,228,251,274,52,29,120,146,1361,1320,2.28,0.43
1628973,14,Jalen Brunson,1610612752,NYK,57,2004,486,1009,0.482,106,261,0.406,276,329,0.839,37,170,207,356,52,15,115,132,1354,1293,3.1,0.45
203897,15,Zach LaVine,1610612741,CHI,56,2010,469,999,0.469,154,413,0.373,259,309,0.838,30,245,275,226,54,11,146,127,1351,1191,1.55,0.37
1629630,16,Ja Morant,1610612763,MEM,49,1604,469,1015,0.462,81,255,0.318,308,416,0.74,56,233,289,403,52,13,170,84,1327,1260,2.37,0.31
1628368,17,De'Aaron Fox,1610612758,SAC,53,1795,491,961,0.511,82,250,0.328,258,323,0.799,25,201,226,325,56,18,142,129,1322,1270,2.29,0.39
1627759,18,Jaylen Brown,1610612738,BOS,49,1750,484,995,0.486,124,371,0.334,209,269,0.777,62,285,347,158,54,22,149,133,1301,1162,1.06,0.36
203999,19,Nikola Jokic,1610612743,DEN,52,1750,488,772,0.632,45,112,0.402,264,320,0.825,112,490,602,528,67,36,188,137,1285,1990,2.81,0.36
1627783,20,Pascal Siakam,1610612761,TOR,50,1883,453,943,0.48,70,206,0.34,287,374,0.767,93,292,385,305,40,27,127,168,1263,1316,2.4,0.32
203903,21,Jordan Clarkson,1610612762,UTA,59,1922,448,1003,0.447,155,451,0.344,193,236,0.818,68,171,239,251,30,13,178,118,1244,1001,1.41,0.17
1629673,22,Jordan Poole,1610612744,GSW,59,1807,416,952,0.437,157,469,0.335,242,281,0.861,24,141,165,267,49,14,194,160,1231,957,1.38,0.25
202711,23,Bojan Bogdanovic,1610612765,DET,57,1825,414,849,0.488,137,338,0.405,263,298,0.883,33,175,208,148,33,7,129,106,1228,1025,1.15,0.26
202681,24,Kyrie Irving,1610612742,DAL,45,1661,446,907,0.492,148,387,0.382,180,201,0.896,44,180,224,245,47,36,102,124,1220,1188,2.4,0.46
1629014,25,Anfernee Simons,1610612757,POR,56,1990,427,949,0.45,196,515,0.381,146,160,0.913,15,135,150,235,40,13,121,133,1196,977,1.94,0.33
1628389,26,Bam Adebayo,1610612748,MIA,55,1934,469,865,0.542,1,12,0.083,245,306,0.801,145,401,546,178,66,44,138,153,1184,1423,1.29,0.48
1630224,27,Jalen Green,1610612745,HOU,54,1833,393,960,0.409,137,412,0.333,253,321,0.788,30,186,216,195,41,13,154,90,1176,852,1.27,0.27
1629636,28,Darius Garland,1610612739,CLE,53,1862,401,858,0.467,135,324,0.417,227,262,0.866,22,118,140,413,68,5,156,113,1164,1142,2.65,0.44
204001,29,Kristaps Porzingis,1610612764,WAS,51,1663,377,774,0.487,105,279,0.376,303,358,0.846,96,341,437,130,44,78,112,156,1162,1287,1.16,0.39
1629640,30,Keldon Johnson,1610612759,SAS,53,1726,411,920,0.447,114,347,0.329,222,287,0.774,45,209,254,147,38,9,114,101,1158,918,1.29,0.33
