PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1628983,1,Shai Gilgeous-Alexander,1610612760,OKC,44,34.4,11.3,21.4,0.528,2.0,5.7,0.351,7.5,8.3,0.906,0.9,4.4,5.3,6.0,2.1,1.1,2.7,32.1,32.9
203507,2,Giannis Antetokounmpo,1610612749,MIL,37,34.8,12.5,20.7,0.602,0.1,0.7,0.148,6.4,10.8,0.593,2.2,9.8,12.0,5.8,0.7,1.4,3.5,31.4,35.3
203999,3,Nikola Jokić,1610612743,DEN,39,36.3,11.4,20.1,0.566,2.1,4.3,0.479,5.2,6.4,0.81,3.4,9.8,13.1,10.1,1.8,0.6,3.1,29.9,42.6
1630163,4,LaMelo Ball,1610612766,CHA,30,34.1,10.0,23.9,0.419,4.2,12.6,0.334,4.7,5.7,0.824,1.0,4.4,5.4,7.5,1.4,0.3,3.8,28.9,24.9
201142,5,Kevin Durant,1610612756,PHX,34,35.9,9.8,18.7,0.524,2.2,5.7,0.394,5.3,6.4,0.83,0.5,6.0,6.4,4.1,0.8,1.3,3.1,27.2,26.7
1628369,6,Jayson Tatum,1610612738,BOS,43,36.3,9.1,20.1,0.454,3.6,10.3,0.354,5.2,6.6,0.795,0.6,8.5,9.0,5.4,1.3,0.5,2.8,27.1,28.3
1630178,7,Tyrese Maxey,1610612755,PHI,37,37.9,9.2,21.4,0.432,3.3,9.6,0.339,4.9,5.7,0.863,0.2,3.2,3.5,6.0,2.0,0.4,2.4,26.6,23.2
1630162,8,Anthony Edwards,1610612750,MIN,45,36.7,9.0,20.3,0.445,4.2,9.8,0.425,4.1,5.0,0.834,0.7,4.9,5.7,4.4,1.1,0.5,3.4,26.3,22.6
1628973,9,Jalen Brunson,1610612752,NYK,45,35.4,8.9,18.4,0.487,2.4,5.9,0.397,5.7,7.0,0.818,0.4,2.5,2.9,7.4,0.9,0.0,2.4,25.9,24.1
203076,10,Anthony Davis,1610612747,LAL,40,34.8,9.5,18.2,0.524,0.7,2.3,0.304,6.1,7.8,0.788,2.7,9.1,11.9,3.5,1.3,2.2,2.2,25.9,32.2
1626164,11,Devin Booker,1610612756,PHX,39,36.8,8.3,18.8,0.441,2.6,7.8,0.337,6.2,7.0,0.893,1.0,3.0,3.9,6.6,1.2,0.3,2.4,25.5,23.8
203081,12,Damian Lillard,1610612749,MIL,36,36.2,7.7,17.2,0.447,3.4,9.0,0.383,6.4,6.9,0.924,0.6,4.1,4.7,7.3,1.3,0.2,2.9,25.2,25.8
1628368,13,De'Aaron Fox,1610612758,SAC,42,37.2,9.2,19.8,0.466,2.0,6.3,0.317,4.6,5.6,0.823,1.0,4.0,5.0,6.2,1.5,0.5,3.1,25.1,23.7
1626157,14,Karl-Anthony Towns,1610612752,NYK,41,34.7,9.0,16.6,0.541,2.0,4.8,0.431,5.0,5.9,0.839,3.0,10.9,13.9,3.4,1.0,0.8,2.6,24.9,32.9
1630595,15,Cade Cunningham,1610612765,DET,41,35.6,9.3,20.5,0.455,2.4,6.4,0.369,3.8,4.6,0.821,0.9,5.6,6.5,9.4,1.0,0.8,4.7,24.9,25.9
1641705,16,Victor Wembanyama,1610612759,SAS,38,33.2,9.0,18.9,0.476,3.2,9.1,0.353,3.3,3.9,0.844,1.7,9.1,10.8,3.7,1.1,3.9,3.5,24.5,30.1
202681,17,Kyrie Irving,1610612742,DAL,36,36.0,9.0,18.6,0.483,3.0,7.0,0.425,3.5,3.8,0.906,1.0,3.5,4.5,4.9,1.3,0.4,2.3,24.4,23.1
203897,18,Zach LaVine,1610612741,CHI,41,34.1,8.7,17.0,0.512,3.2,7.2,0.444,3.4,4.3,0.792,0.3,4.6,4.9,4.5,0.9,0.2,2.9,24.0,22.5
1629639,19,Tyler Herro,1610612748,MIA,43,35.3,8.3,17.4,0.476,3.9,9.6,0.405,3.6,4.1,0.874,0.3,5.2,5.5,5.2,0.7,0.1,2.4,24.0,23.5
1626181,20,Norman Powell,1610612746,LAC,37,32.9,8.3,16.9,0.49,3.5,8.0,0.431,3.9,4.6,0.842,0.4,3.1,3.5,2.2,1.3,0.2,2.1,23.9,19.6
1628378,21,Donovan Mitchell,1610612739,CLE,43,31.4,8.3,18.8,0.444,3.7,9.3,0.398,3.4,4.1,0.826,0.7,3.7,4.5,4.6,1.4,0.2,2.0,23.8,21.3
2544,22,LeBron James,1610612747,LAL,40,34.8,9.2,18.1,0.51,2.2,5.5,0.393,3.1,4.1,0.762,1.0,6.7,7.6,9.0,0.9,0.6,3.8,23.7,28.1
1627759,23,Jaylen Brown,1610612738,BOS,39,35.4,8.5,18.8,0.452,2.0,6.2,0.32,4.1,5.5,0.742,1.5,4.5,6.0,4.8,1.3,0.3,2.7,23.0,21.0
1628991,24,Jaren Jackson Jr.,1610612763,MEM,44,29.4,8.3,16.8,0.498,1.8,5.2,0.348,4.4,5.6,0.78,1.5,4.8,6.3,2.2,1.4,1.6,2.2,22.9,22.5
1629027,25,Trae Young,1610612737,ATL,42,36.1,7.0,17.3,0.401,2.9,8.4,0.345,6.0,7.0,0.853,0.5,2.8,3.4,11.5,1.3,0.2,4.6,22.8,23.1
201939,26,Stephen Curry,1610612744,GSW,37,31.7,7.5,17.0,0.443,4.3,10.6,0.403,3.0,3.2,0.933,0.5,4.2,4.8,6.4,1.1,0.5,3.0,22.3,22.4
1629628,27,RJ Barrett,1610612761,TOR,37,33.5,8.2,17.4,0.472,1.9,5.4,0.352,3.8,5.6,0.679,1.0,5.7,6.7,5.8,0.8,0.4,3.2,22.1,21.6
203468,28,CJ McCollum,1610612740,NOP,33,33.3,8.2,18.2,0.45,3.1,8.4,0.373,2.4,3.4,0.708,0.7,2.8,3.6,3.8,0.8,0.6,1.7,22.0,18.0
201942,29,DeMar DeRozan,1610612758,SAC,40,35.8,8.1,16.7,0.484,0.9,2.7,0.327,4.7,5.5,0.862,0.6,3.3,3.9,3.7,1.2,0.5,1.4,21.8,20.2
1629636,30,Darius Garland,1610612739,CLE,44,30.3,7.8,15.5,0.501,3.0,6.9,0.431,3.2,3.6,0.881,0.6,1.9,2.5,6.8,1.1,0.2,2.4,21.7,21.7
201935,31,James Harden,1610612746,LAC,42,33.6,6.3,15.9,0.397,2.8,8.2,0.344,6.2,6.9,0.897,0.6,5.3,5.9,8.3,1.4,0.6,4.5,21.7,23.0
1630224,32,Jalen Green,1610612745,HOU,44,32.9,7.5,17.3,0.432,2.9,8.0,0.363,3.6,4.1,0.877,0.5,3.8,4.3,2.8,0.9,0.3,2.5,21.4,16.9
1629673,33,Jordan Poole,1610612764,WAS,37,31.2,6.9,16.3,0.424,3.7,9.3,0.402,3.9,4.5,0.867,0.5,2.5,3.0,4.9,1.6,0.4,3.4,21.4,18.0
1627734,34,Domantas Sabonis,1610612758,SAC,42,36.1,8.3,13.7,0.606,1.2,2.5,0.476,3.3,4.2,0.778,3.9,10.5,14.4,6.4,0.6,0.5,3.0,21.0,33.6
1631114,35,Jalen Williams,1610612760,OKC,44,32.8,8.1,17.0,0.475,1.7,5.0,0.347,3.2,4.0,0.79,0.8,4.8,5.5,5.2,1.8,0.8,2.3,21.0,22.3
1627783,36,Pascal Siakam,1610612754,IND,45,33.2,7.8,14.8,0.526,1.7,4.2,0.413,2.8,3.8,0.743,1.8,5.6,7.4,3.4,0.9,0.4,1.3,20.2,23.0
202696,37,Nikola Vučević,1610612741,CHI,45,32.3,8.2,14.8,0.555,1.9,4.6,0.406,1.8,2.2,0.82,2.4,8.0,10.3,3.4,0.9,0.7,1.5,20.1,27.0
1630567,38,Scottie Barnes,1610612761,TOR,32,34.8,7.7,16.6,0.463,1.4,5.1,0.278,3.3,4.5,0.748,1.7,6.5,8.1,6.5,1.5,0.9,3.3,20.1,23.9
1627750,39,Jamal Murray,1610612743,DEN,39,35.8,7.3,16.1,0.456,2.1,5.7,0.376,3.1,3.6,0.863,0.5,3.4,4.0,6.0,1.5,0.5,2.3,19.9,20.4
1628374,40,Lauri Markkanen,1610612762,UTA,33,31.7,6.3,14.8,0.425,3.0,8.4,0.356,4.1,4.7,0.877,1.7,4.3,6.1,1.8,0.8,0.3,1.4,19.7,18.3
1629661,41,Cameron Johnson,1610612751,BKN,35,32.3,6.5,13.1,0.491,3.2,7.6,0.419,3.3,3.7,0.898,0.7,3.3,4.1,2.9,0.8,0.5,1.7,19.4,18.9
1630578,42,Alperen Sengun,1610612745,HOU,44,31.3,7.7,15.7,0.491,0.3,1.5,0.234,3.6,5.1,0.702,3.4,7.0,10.4,5.0,1.3,0.8,2.4,19.3,24.9
203944,43,Julius Randle,1610612750,MIN,45,33.0,6.6,14.1,0.468,1.5,4.6,0.327,4.2,5.2,0.809,2.2,5.1,7.3,4.6,0.7,0.2,2.9,18.9,20.3
1630552,44,Jalen Johnson,1610612737,ATL,36,35.7,7.5,15.1,0.5,1.2,3.9,0.312,2.6,3.5,0.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,18.9,25.1
1630559,45,Austin Reaves,1610612747,LAL,38,35.0,6.1,13.8,0.446,2.6,7.1,0.364,3.6,4.2,0.844,0.8,3.3,4.1,6.1,1.1,0.2,2.4,18.4,19.1
1629014,46,Anfernee Simons,1610612757,POR,42,32.2,6.5,15.4,0.423,3.0,8.1,0.369,2.4,2.6,0.901,0.3,2.5,2.8,4.7,0.9,0.1,2.2,18.4,15.5
1629012,47,Collin Sexton,1610612762,UTA,41,29.0,6.5,13.8,0.474,1.9,4.7,0.401,3.4,3.8,0.891,1.0,1.8,2.9,4.1,0.7,0.1,2.6,18.3,15.8
1630596,48,Evan Mobley,1610612739,CLE,39,30.2,7.0,12.3,0.57,1.2,2.8,0.413,3.1,4.1,0.761,2.0,6.8,8.8,2.8,0.9,1.4,2.0,18.3,23.9
1629632,49,Coby White,1610612741,CHI,40,32.6,6.2,14.3,0.437,3.0,8.3,0.364,2.8,3.2,0.874,0.4,3.1,3.4,4.7,1.0,0.2,2.4,18.2,16.7
1629008,50,Michael Porter Jr.,1610612743,DEN,45,33.2,6.8,13.4,0.512,2.6,6.3,0.415,1.8,2.5,0.719,1.6,4.8,6.4,2.3,0.6,0.4,1.3,18.1,19.3
