PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1628983,1,Shai Gilgeous-Alexander,1610612760,OKC,31,1069,339,648,0.523,66,192,0.344,216,245,0.882,26,148,174,191,60,37,83,67,960,1001,2.3,0.72
1628368,2,De'Aaron Fox,1610612758,SAC,33,1228,325,671,0.484,68,209,0.325,157,196,0.801,37,130,167,207,54,11,111,91,875,818,1.86,0.49
203999,3,Nikola Jokić,1610612743,DEN,28,1041,330,586,0.563,64,131,0.489,143,180,0.794,97,263,360,267,49,16,95,57,867,1171,2.81,0.52
1628973,4,Jalen Brunson,1610612752,NYK,33,1152,283,586,0.483,83,206,0.403,184,223,0.825,14,84,98,253,26,2,79,74,833,791,3.2,0.33
1628369,5,Jayson Tatum,1610612738,BOS,29,1061,274,588,0.466,112,305,0.367,166,206,0.806,19,259,278,162,37,14,80,74,826,883,2.02,0.46
203507,6,Giannis Antetokounmpo,1610612749,MIL,24,840,307,501,0.613,4,18,0.222,167,272,0.614,48,230,278,144,17,36,82,56,785,879,1.76,0.21
203076,7,Anthony Davis,1610612747,LAL,30,1040,282,535,0.527,20,64,0.313,197,254,0.776,78,268,346,106,37,61,67,57,781,954,1.58,0.55
1630162,8,Anthony Edwards,1610612750,MIN,31,1115,276,624,0.442,125,304,0.411,95,118,0.805,21,153,174,124,40,19,95,59,772,663,1.3,0.42
1626157,9,Karl-Anthony Towns,1610612752,NYK,31,1059,275,500,0.55,67,153,0.438,150,180,0.833,90,328,418,102,26,28,80,112,767,1006,1.27,0.33
1628378,10,Donovan Mitchell,1610612739,CLE,31,977,259,566,0.458,119,288,0.413,94,116,0.81,16,126,142,144,48,8,64,63,731,680,2.25,0.75
1629639,11,Tyler Herro,1610612748,MIA,30,1055,250,525,0.476,118,288,0.41,103,122,0.844,10,162,172,156,22,3,76,47,721,704,2.05,0.29
202681,12,Kyrie Irving,1610612742,DAL,29,1030,262,536,0.489,93,209,0.445,96,106,0.906,31,99,130,145,33,9,64,62,713,682,2.27,0.52
1641705,13,Victor Wembanyama,1610612759,SAS,27,894,247,517,0.478,92,256,0.359,103,117,0.88,50,221,271,103,28,107,94,54,689,820,1.1,0.3
201935,14,James Harden,1610612746,LAC,31,1059,195,498,0.392,89,256,0.348,205,230,0.891,18,175,193,247,46,19,148,64,684,713,1.67,0.31
