PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1627734,1,Domantas Sabonis,1610612758,SAC,74,34.8,7.3,11.9,0.611,0.4,1.1,0.354,4.2,5.5,0.759,3.2,9.3,12.4,7.2,0.8,0.5,2.9,19.1,31.2
203999,2,Nikola Jokic,1610612743,DEN,67,33.9,9.5,15.0,0.634,0.9,2.2,0.39,5.1,6.1,0.823,2.5,9.4,11.9,9.9,1.2,0.7,3.5,24.9,38.6
203507,3,Giannis Antetokounmpo,1610612749,MIL,61,32.1,11.2,20.4,0.55,0.8,2.8,0.276,7.9,12.2,0.648,2.2,9.5,11.8,5.6,0.8,0.8,3.8,31.1,32.8
203497,4,Rudy Gobert,1610612750,MIN,65,30.9,5.2,7.9,0.661,0.0,0.0,0.0,3.3,5.1,0.645,3.3,8.4,11.7,1.2,0.8,1.4,1.8,13.7,22.5
203991,5,Clint Capela,1610612737,ATL,60,26.7,5.5,8.4,0.651,0.0,0.0,0.0,1.2,1.9,0.6,4.2,7.1,11.2,0.9,0.7,1.2,0.8,12.1,21.6
202696,6,Nikola Vucevic,1610612741,CHI,76,33.8,7.3,14.1,0.519,1.6,4.4,0.356,1.6,1.9,0.832,2.0,9.1,11.1,3.3,0.7,0.7,1.8,17.7,24.8
203954,7,Joel Embiid,1610612755,PHI,62,34.7,11.0,20.2,0.544,1.0,3.0,0.34,10.2,11.9,0.856,1.8,8.4,10.2,4.2,1.1,1.7,3.5,33.2,35.9
202685,8,Jonas Valanciunas,1610612740,NOP,74,25.0,5.7,10.3,0.552,0.5,1.4,0.343,2.4,2.9,0.822,2.8,7.3,10.1,1.8,0.3,0.6,2.0,14.3,19.8
1629028,9,Deandre Ayton,1610612756,PHX,63,30.4,7.9,13.4,0.587,0.1,0.4,0.292,2.2,2.9,0.757,2.6,7.4,10.0,1.8,0.6,0.8,1.8,18.1,23.2
203944,10,Julius Randle,1610612752,NYK,77,35.5,8.5,18.6,0.459,2.8,8.3,0.343,5.2,6.9,0.757,1.8,8.1,10.0,4.1,0.6,0.3,2.8,25.1,25.6
1628386,11,Jarrett Allen,1610612739,CLE,65,33.0,6.0,9.3,0.645,0.0,0.1,0.111,2.4,3.3,0.74,3.3,6.7,9.9,1.7,0.8,1.2,1.4,14.4,22.6
1627826,12,Ivica Zubac,1610612746,LAC,71,28.6,4.2,6.7,0.63,0.0,0.0,0.0,2.1,3.1,0.689,3.1,6.8,9.9,1.1,0.4,1.3,1.6,10.5,18.1
1626171,13,Bobby Portis,1610612749,MIL,66,25.8,5.6,11.3,0.495,1.2,3.5,0.345,1.3,1.7,0.781,2.2,7.3,9.5,1.5,0.4,0.2,1.2,13.7,18.2
1628389,14,Bam Adebayo,1610612748,MIA,72,35.2,8.2,15.1,0.539,0.0,0.2,0.083,4.4,5.5,0.803,2.4,6.9,9.3,3.3,1.2,0.8,2.6,20.7,24.7
1627751,15,Jakob Poeltl,1610612761,TOR,66,26.8,5.5,8.7,0.631,0.0,0.0,0.0,1.8,2.9,0.601,3.3,5.9,9.2,2.8,1.0,1.2,1.8,12.7,20.7
203486,16,Mason Plumlee,1610612746,LAC,74,26.6,4.3,6.3,0.679,0.0,0.0,0.0,2.6,4.1,0.631,3.0,6.2,9.2,3.2,0.6,0.6,1.5,11.1,19.6
1629651,17,Nic Claxton,1610612751,BKN,71,29.7,5.4,7.7,0.703,0.0,0.0,0.0,1.7,3.3,0.53,2.4,6.8,9.2,1.8,0.8,2.5,1.3,12.6,21.8
1626172,18,Kevon Looney,1610612744,GSW,77,23.8,3.0,4.7,0.636,0.0,0.0,0.0,1.2,1.9,0.6,3.3,5.8,9.1,2.5,0.6,0.6,0.6,7.2,16.9
1630596,19,Evan Mobley,1610612739,CLE,75,34.5,6.7,12.1,0.557,0.3,1.3,0.212,2.7,4.0,0.673,2.4,6.6,9.0,2.8,0.8,1.5,1.9,16.4,21.9
1629011,20,Mitchell Robinson,1610612752,NYK,55,27.0,3.1,4.5,0.69,0.0,0.0,0.0,0.9,1.9,0.491,4.2,4.7,9.0,0.8,0.9,1.7,0.6,7.2,16.5
1628369,21,Jayson Tatum,1610612738,BOS,71,37.2,9.9,21.3,0.464,3.3,9.4,0.35,7.2,8.4,0.856,1.1,7.8,8.9,4.6,1.0,0.7,2.9,30.2,29.9
1630578,22,Alperen Sengun,1610612745,HOU,70,28.6,5.9,10.6,0.556,0.2,0.7,0.314,2.7,3.8,0.712,3.2,5.5,8.7,3.8,0.9,0.9,2.5,14.7,20.6
1629029,23,Luka Doncic,1610612742,DAL,62,36.3,11.0,22.1,0.496,2.9,8.2,0.349,8.0,10.7,0.74,0.9,7.8,8.7,8.1,1.4,0.5,3.7,32.8,33.9
1631105,24,Jalen Duren,1610612765,DET,61,24.5,3.7,5.8,0.642,0.0,0.0,0.0,1.4,2.3,0.614,3.4,5.3,8.7,1.2,0.6,0.9,1.2,8.9,16.0
1628374,25,Lauri Markkanen,1610612762,UTA,65,34.4,8.7,17.3,0.501,3.1,7.7,0.396,5.3,6.0,0.873,2.0,6.7,8.6,1.9,0.6,0.6,1.9,25.7,26.0
