PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1627734,1,Domantas Sabonis,1610612758,SAC,49,36.0,8.0,13.3,0.598,1.1,2.4,0.458,3.4,4.5,0.761,4.0,10.3,14.3,6.2,0.6,0.4,3.0,20.5,32.7
1626157,2,Karl-Anthony Towns,1610612752,NYK,47,34.6,8.7,16.3,0.531,2.0,4.6,0.428,4.7,5.6,0.838,3.1,10.4,13.5,3.3,1.0,0.8,2.5,24.0,31.5
1627826,3,Ivica Zubac,1610612746,LAC,50,32.0,6.8,11.1,0.616,0.0,0.0,0.0,1.7,2.8,0.616,3.8,8.9,12.7,2.5,0.8,1.1,1.7,15.4,25.5
203999,4,Nikola Jokić,1610612743,DEN,47,36.1,11.3,19.6,0.575,2.1,4.5,0.462,5.0,6.1,0.816,3.0,9.6,12.7,10.3,1.8,0.7,3.1,29.6,42.5
203507,5,Giannis Antetokounmpo,1610612749,MIL,41,34.9,12.7,20.9,0.608,0.1,0.8,0.188,6.2,10.7,0.577,2.3,9.9,12.2,5.9,0.8,1.3,3.4,31.8,35.7
203076,6,Anthony Davis,1610612742,DAL,43,34.2,9.5,18.0,0.528,0.7,2.2,0.313,6.0,7.6,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,25.7,32.3
1631117,7,Walker Kessler,1610612762,UTA,40,30.2,4.8,6.8,0.71,0.1,0.2,0.333,1.5,2.7,0.541,4.6,7.4,11.9,1.6,0.6,2.4,1.5,11.2,22.9
1641705,8,Victor Wembanyama,1610612759,SAS,44,33.0,8.8,18.6,0.474,3.1,8.8,0.35,3.5,4.2,0.842,1.8,9.1,10.9,3.6,1.1,3.9,3.3,24.3,30.0
1629028,9,Deandre Ayton,1610612757,POR,39,30.4,6.7,11.8,0.566,0.2,0.8,0.188,1.0,1.5,0.667,3.2,7.2,10.4,1.6,0.8,1.0,1.7,14.5,21.0
203497,10,Rudy Gobert,1610612750,MIN,53,33.3,4.2,6.4,0.65,0.0,0.0,0.0,2.5,3.6,0.677,3.4,7.0,10.4,1.8,0.7,1.5,1.3,10.8,20.5
