Date,Away Team,Home Team,Trigger,Initial Call,Final Ruling,Ruling Description,Team Challenged,Challenge Outcome,Period,Game Clock - Review is Triggered,Video Link
10/06/2024,NYK,CHA,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,NYK,Unsuccessful,4,00:02.5,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400006_20241006_191724
10/07/2024,NZB,PHI,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,NZB,Successful,2,03:33.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400011_20241007_200541
10/07/2024,MEM,DAL,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,DAL,Unsuccessful,2,10:38.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400012_20241007_204510
10/07/2024,OKC,SAS,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,OKC,Successful,4,10:08.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400013_20241007_214752
10/07/2024,HOU,UTA,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,HOU,Unsuccessful,4,11:03.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400014_20241007_230639
10/08/2024,CHI,CLE,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,CHI,Successful,2,03:04.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400016_20241008_195549
10/09/2024,HOU,OKC,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,OKC,Successful,2,04:52.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400021_20241009_205946
10/09/2024,HOU,OKC,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,OKC,Unsuccessful,3,02:15.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400021_20241009_215113
10/10/2024,IND,CLE,Challenge OOB,Away Team Ball,Stands,Away Team Ball,CLE,Unsuccessful,3,00:27.8,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400024_20241010_204320
10/10/2024,LAL,MIL,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Gains Possession,LAL,Successful,2,06:59.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400028_20241010_204729
10/10/2024,IND,CLE,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,IND,Unsuccessful,4,10:04.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400024_20241010_205229
10/10/2024,CHA,MEM,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,MEM,Unsuccessful,3,08:46.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400027_20241010_213005
10/10/2024,LAL,MIL,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),MIL,Successful,4,07:08.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400028_20241010_215536
10/10/2024,CHA,MEM,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,CHA,Successful,4,10:27.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400027_20241010_215740
10/10/2024,LAL,MIL,Challenge Goaltending/BI,Goaltending,Overturned,Inadvertent Whistle - Away Team Gains Possession,LAL,Successful,4,03:30.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400028_20241010_220843
10/12/2024,UTA,SAS,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,UTA,Successful,1,00:31.3,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400038_20241012_203557
10/12/2024,MEM,CHI,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,CHI,Successful,3,11:48.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400037_20241012_212534
10/12/2024,PHI,BOS,Challenge of Called Foul,Loose Ball Foul,Overturned,Inadvertent Whistle - Away Team Gains Possession,PHI,Successful,3,03:39.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400036_20241012_213050
10/13/2024,NOP,MIA,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,NOP,Unsuccessful,4,00:06.6,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400039_20241013_175638
10/13/2024,POR,SAC,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,SAC,Unsuccessful,1,07:30.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400041_20241013_181956
10/13/2024,MIN,NYK,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,MIN,Unsuccessful,3,09:43.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400040_20241013_193611
10/13/2024,POR,SAC,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,POR,Unsuccessful,3,03:45.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400041_20241013_194553
10/13/2024,MIN,NYK,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,NYK,Successful,3,01:02.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400040_20241013_195624
10/14/2024,MEM,IND,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,MEM,Successful,1,01:17.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400045_20241014_193334
10/14/2024,WAS,BKN,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,WAS,Unsuccessful,1,07:51.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400047_20241014_194932
10/14/2024,PHI,ATL,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,ATL,Unsuccessful,2,09:22.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400046_20241014_201617
10/14/2024,PHI,ATL,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,PHI,Successful,2,00:42.3,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400046_20241014_204013
10/14/2024,MEM,IND,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,IND,Successful,4,06:26.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400045_20241014_210828
10/14/2024,CHI,MIL,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,CHI,Successful,4,09:19.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400048_20241014_220335
10/14/2024,DAL,LAC,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,LAC,Successful,2,00:29.5,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400049_20241014_233419
10/14/2024,DAL,LAC,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,DAL,Successful,3,02:54.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400049_20241015_001620
10/15/2024,SAC,UTA,Challenge OOB,Away Team Ball,Overturned,Jump Ball,UTA,Successful,1,00:25.3,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400055_20241015_213543
10/15/2024,SAS,MIA,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,SAS,Unsuccessful,4,04:56.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400051_20241015_214317
